name,type,tip_size_mm,color,notes
staedler pigment liner,fine liner,0.05,black,
staedler pigment liner,fine liner,0.1,black,
staedler pigment liner,fine liner,0.2,black,
staedler pigment liner,fine liner,0.3,black,
staedler pigment liner,fine liner,0.5,black,
staedler pigment liner,fine liner,0.8,black,
staedler pigment liner,fine liner,0.5,black,
staedler pigment liner,fine liner,0.5,blue,
staedler pigment liner,fine liner,0.5,red,
staedler pigment liner,fine liner,0.5,cyan,
staedler pigment liner,fine liner,0.5,magenta,
staedler pigment liner,fine liner,0.5,yellow,
staedler pigment liner,fine liner,0.5,apple green,
staedler pigment liner,fine liner,0.5,orange,
staedler pigment liner,fine liner,0.5,grey,
posca pc-1mr,paint marker,0.7,yellow,
posca pc-1mr,paint marker,0.7,light blue,
posca pc-1mr,paint marker,0.7,pink,